name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
"美女,应接不暇",2024-05-14,8294,9.99,53711.0,4.90755358007216,89,indie,筠悦游戏,筠悦游戏,2753730
heroes of eternal quest,2024-01-23,5554,11.99,53606.0,5.211472233432033,79,indie,surefire.games,drakkar game studio,2234200
coin pusher casino,2024-02-29,5712,12.45,53577.0,20.55373358458625,90,indie,treenutsgames,treenutsgames,2178590
lunar's chosen - episode 1,2024-03-21,6065,11.99,53520.0,17.04048723468547,89,indie,ptgames,ptgames,1695680
love chase,2024-05-20,11298,5.99,53201.0,5.78766925311464,88,indie,topgame,topgame,2812850
ocean keeper: dome survival,2024-07-18,8573,7.99,53194.0,3.3624747089534006,87,indie,retrostyle games,retrostyle games,2845630
innocent grape,2024-06-21,9419,6.99,53093.0,1.263656828427289,86,indie,tophouse publishing,"tophouse studio,abel games",2924050
the land beneath us,2024-05-13,4863,14.99,53038.0,7.226468390806144,83,indie,"dear villagers,gamera games",fairplay studios co. ltd,2131010
kunkun defender,2024-05-02,24898,2.99,52877.0,2.503987080889346,98,indie,seal,seal,2902540
sex magic 🔮,2024-02-24,8640,9.99,52803.0,1.5494840840141335,74,indie,lust desires 🖤,lust desires 🖤,2800520
my horse: bonded spirits,2024-06-19,3457,19.99,52635.0,3.1240758472671737,57,indie,"games incubator,playway s.a.",games incubator,2376970
suzukuri dungeon: karin in the mountain,2024-08-20,2908,24.99,52578.0,7.88879147866267,80,indie,shiravune,karin project,1552140
bakeru,2024-09-03,1611,39.99,52181.0,3.104794863653244,97,aa,"spike chunsoft co., ltd.","good-feel co., ltd.",2969380
cricket captain 2024,2024-06-06,1932,29.99,52146.0,34.64194315756216,71,indie,childish things ltd,childish things ltd,2900670
the last alchemist,2024-07-12,3193,19.99,51994.0,5.495677661356906,82,indie,marvelous europe,vile monarch,1536570
